Zip,Car,Price,Mileage,Link
30004,2021 Porsche Cayenne AWD,72900,12100,https://www.cars.com/vehicledetail/02c1ac1f-a10c-42fe-9d66-52402fe5fb95/
30004,2006 BMW M5 Base,22900,106000,https://www.cars.com/vehicledetail/43c23dfb-39f4-4cfc-a278-3e60a0d07e7a/
30004,2020 Mercedes-Benz AMG CLS 53 AWD 4MATIC,80000,22000,https://www.cars.com/vehicledetail/870f7d40-2ef3-4516-8d6d-4f728ee721cc/
30004,2010 Buick Lucerne CXL,14500,21800,https://www.cars.com/vehicledetail/517ec6dd-6d7a-44ec-9f99-e2cade1406f5/
30004,2008 Jeep Wrangler X,15000,112000,https://www.cars.com/vehicledetail/ab9a6e15-a53c-4050-92eb-378da7a7627d/
30004,2021 Jeep Gladiator 80th Anniversary,39500,12200,https://www.cars.com/vehicledetail/58f5b2e1-97c9-4ccc-a36a-efd27d9cee45/
30004,2012 Toyota Camry L,7700,224913,https://www.cars.com/vehicledetail/1e90e488-c20b-4bbb-984a-2600393d3953/
30004,2022 Ford Maverick XLT,40000,12900,https://www.cars.com/vehicledetail/7e2cef56-a2fb-4241-8c90-17b5a00c14ae/
30004,2008 Ford Mustang Shelby GT500,52530,4700,https://www.cars.com/vehicledetail/1c8f3f22-b7ca-4f7c-bf10-b9633b126d17/
30004,2005 Jeep Liberty Sport,3000,152300,https://www.cars.com/vehicledetail/f4aa2104-7a23-4ca1-8bd3-c3333d5c5c47/
30005,2016 Hyundai Tucson SE,15500,56081,https://www.cars.com/vehicledetail/be64ec35-7624-4a70-9c60-d525c379fb93/
30005,2017 Toyota Highlander XLE,31000,56000,https://www.cars.com/vehicledetail/867112fa-a9cf-4d2a-8e5d-c1e3e7b4a8a0/
30005,2000 Dodge Dakota Sport Quad Cab,3875,237150,https://www.cars.com/vehicledetail/15191e4d-21bb-45a3-83b4-a2d2fc1a7b3b/
30005,2007 Dodge Nitro SLT,5000,88742,https://www.cars.com/vehicledetail/55ef8b89-0a2e-4c4d-95be-201a99d803bc/
30006,2004 Chrysler Crossfire Base,9499,41976,https://www.cars.com/vehicledetail/9a6854da-adcf-40af-9e31-e9036c0db9ed/
30006,2016 BMW 428 Gran Coupe i,18997,86761,https://www.cars.com/vehicledetail/1c4bb307-9009-4010-8674-e361d35235b1/
30006,2011 GMC Terrain SLE-1,8995,153720,https://www.cars.com/vehicledetail/6dbbd49f-88e5-45c0-b449-05e883695f52/
30006,2017 Kia Sedona LX,15999,93217,https://www.cars.com/vehicledetail/2cd93afb-2897-464f-a9a3-c3e4ab6abfaa/
30006,2014 Lincoln MKS Base,14999,73904,https://www.cars.com/vehicledetail/9c114f5f-df9e-40ad-a91e-69813d4698b3/
30006,2014 Ford Focus ST Base,18997,44581,https://www.cars.com/vehicledetail/9e0356ac-930b-41b4-9715-ead524809d24/
30006,2011 Volvo C70 T5,12997,73211,https://www.cars.com/vehicledetail/3b817721-122d-4478-971f-c8e7e615e37f/
30006,2016 Ford Expedition XLT,24200,66447,https://www.cars.com/vehicledetail/710e7bac-7040-4eef-bd74-41a59e36628a/
30006,2014 Mazda Mazda6 i Touring,14999,72085,https://www.cars.com/vehicledetail/be25ea02-9811-45d7-b231-0ed695ade111/
30006,2008 Jeep Grand Cherokee Laredo,6995,154595,https://www.cars.com/vehicledetail/78d290a6-d3b4-4596-8be4-cecb69ecfdb5/
30006,2011 INFINITI G37 Journey,10999,112243,https://www.cars.com/vehicledetail/a6324a89-14cf-4e6a-a116-f1c5206944dd/
30006,2011 BMW 335 i,11997,116409,https://www.cars.com/vehicledetail/0f2d7ed4-da30-46cb-be20-cfa6477d9efd/
30006,2017 BMW 320 i,17317,77061,https://www.cars.com/vehicledetail/64f38239-1146-408b-81ba-f28af49e62cb/
30006,2014 Honda CR-V EX,9995,175875,https://www.cars.com/vehicledetail/63b3e1ca-dbc2-4b5c-ac3d-9a48d1c1dcc0/
30006,2015 Volkswagen Passat 1.8T Auto SE,6995,121175,https://www.cars.com/vehicledetail/7547cfb5-1c63-40fd-97cc-f720553fae5c/
30006,2014 BMW 320 i,8997,136272,https://www.cars.com/vehicledetail/8bae95e4-d0da-45e2-a814-9578e4f91c9f/
30006,2014 Scion FR-S Monogram,18497,58416,https://www.cars.com/vehicledetail/84131f2e-2eec-4b17-9a3f-cec684ee4054/
30006,2014 Cadillac ATS 2.5L Luxury,8995,182531,https://www.cars.com/vehicledetail/9406bbfb-7e34-4549-a695-8ff21cd98837/
30006,2011 Subaru Outback 2.5 i Limited,7995,166189,https://www.cars.com/vehicledetail/11b431d6-efa3-43b3-9894-8f99a1953fe7/
30006,2011 Chevrolet Equinox LT,6995,130025,https://www.cars.com/vehicledetail/aead9dbf-ba91-4ea0-925e-4aa4d4181e54/
30006,2013 Cadillac XTS Platinum,18999,108071,https://www.cars.com/vehicledetail/3ee33bfd-e192-430c-8450-755b4afcb8d2/
30006,2016 BMW X5 xDrive35i,19599,114316,https://www.cars.com/vehicledetail/51fc0570-ea64-4826-aae9-914caa9c0cf5/
30006,2014 BMW 320 i xDrive,14998,76672,https://www.cars.com/vehicledetail/b86863c1-f202-4231-aeca-c93740f80b20/
30006,2016 Buick Enclave Leather,15500,107633,https://www.cars.com/vehicledetail/6ca663b0-8cb2-4645-a66a-32d88ab788d8/
30006,2014 Mercedes-Benz CLA-Class CLA 250 4MATIC,14997,95234,https://www.cars.com/vehicledetail/c77d7c9b-2f94-4985-ba1d-c2445ea4b463/
30006,2016 BMW X5 sDrive35i,18900,106395,https://www.cars.com/vehicledetail/49819f8f-c689-4645-a4ad-d998367269bc/
30006,2015 Mercedes-Benz CLA-Class CLA 250,17999,87069,https://www.cars.com/vehicledetail/6d5db8f8-aa02-4a2b-9065-3320b50e57fc/
30006,2010 Mercedes-Benz GLK-Class GLK 350,11998,88466,https://www.cars.com/vehicledetail/11d66a3f-9bf5-463e-9c5a-e0cfbf477b40/
30006,2019 Nissan Titan SV,26899,93218,https://www.cars.com/vehicledetail/7d2d636c-0ebb-40cd-abd5-a4a7362c7266/
30006,2013 Mercedes-Benz GLK-Class GLK 350,17999,55463,https://www.cars.com/vehicledetail/338e5776-429b-48bb-bb62-e284b7d05da7/
30006,2014 Cadillac XTS Luxury,14900,134352,https://www.cars.com/vehicledetail/df5d45f6-c38e-472b-ba59-8d71a0671675/
30006,2010 Cadillac CTS Premium,11997,89031,https://www.cars.com/vehicledetail/8c252d6c-7753-419e-82f3-6cfd8558cc2b/
30006,2013 Cadillac CTS Luxury,15497,52353,https://www.cars.com/vehicledetail/6b394044-bdd0-42e6-8dc5-cdee2af3ba7e/
30006,2016 RAM 1500 Big Horn,25500,75489,https://www.cars.com/vehicledetail/f142f6ae-c0ab-4e24-a843-24792591ab3f/
30006,2014 BMW 528 i,13798,101749,https://www.cars.com/vehicledetail/75bfb249-8758-4997-8ed6-6039970f51cd/
30006,2018 RAM 3500 Tradesman,37900,74573,https://www.cars.com/vehicledetail/68cb807e-2feb-4126-8490-be026ddbd697/
30006,2014 Mercedes-Benz C-Class C 250 Sport,12900,74725,https://www.cars.com/vehicledetail/68de891c-1ed1-42c6-a861-28f48f340ae2/
30006,2012 Mercedes-Benz GLK-Class GLK 350 4MATIC,14999,84750,https://www.cars.com/vehicledetail/cafb68de-ca81-409d-8ec0-b3a516584714/
30006,2017 BMW X3 sDrive28i,14900,142350,https://www.cars.com/vehicledetail/944bceb4-9f9c-44ed-b0b1-add1ad51a7b2/
30006,2017 BMW X3 xDrive28i,18998,94002,https://www.cars.com/vehicledetail/f44ad137-b9c6-416f-9443-03d0a05c35b3/
30006,2013 Ford F-250 XLT,24999,86925,https://www.cars.com/vehicledetail/e5df3622-2520-4f7a-9d64-1068b417e6c1/
30006,2012 Mercedes-Benz M-Class ML 350 4MATIC,14900,89980,https://www.cars.com/vehicledetail/6234e3d0-7cf1-408e-a45f-0a123ea60f7c/
30006,2008 Ford Mustang Premium,10900,84977,https://www.cars.com/vehicledetail/9c92e531-da3f-4971-ae64-a824c7a39271/
30006,2020 Toyota Tundra SR5,37499,46125,https://www.cars.com/vehicledetail/54be6ef6-dbc2-4d32-ac8a-6ee802864ec2/
30006,2016 Lexus IS 200t 200t,13497,147307,https://www.cars.com/vehicledetail/fa587578-79a8-4c83-8108-899f41db1647/
30006,2019 Jeep Wrangler Sport S,26998,99945,https://www.cars.com/vehicledetail/4dbfce2a-9e3d-4951-af12-a205486be760/
30006,2012 Jeep Wrangler Sahara,18999,124037,https://www.cars.com/vehicledetail/479b1263-2df2-4503-914d-81b41d388c80/
30006,2011 Acura MDX 3.7L Technology,14997,71998,https://www.cars.com/vehicledetail/3a16d4fe-46f6-45e0-9f23-94a3b5baccd7/
30006,2013 Nissan Altima 2.5 S,10500,146900,https://www.cars.com/vehicledetail/18f2ce9c-b54f-4335-b28d-3a57e0c54c54/
30006,2014 Ford Mustang V6 Premium,15995,103726,https://www.cars.com/vehicledetail/551f3254-7929-4d92-b58a-ac135fc87fd6/
30006,2011 Toyota Avalon Base,11900,138906,https://www.cars.com/vehicledetail/b393200b-d7dd-4aab-9f77-444b124d7f6a/
