Zip,Car,Price,Mileage
30004,BMW,22900,106000
30004,Jeep,39500,12200
30004,Ford,40000,12900
30004,Honda,29990,73650
30004,Toyota,7700,224913
30004,Ford,52530,4400
30004,Jeep,3000,152300
30005,Dodge,5000,88742
30005,Toyota,31000,56000
30005,Dodge,3875,237150
30006,Volvo,12997,73211
30006,Chrysler,9500,41976
30006,GMC,25900,104670
30006,Mercedes-Benz,14997,95234
30006,Ford,18997,44581
30006,GMC,12500,153720
30006,Mercedes-Benz,17999,87069
30006,Jaguar,18997,104721
30006,Lexus,12997,133044
30006,Lexus,13497,147307
30006,Lexus,8997,140523
30006,Ford,24299,66447
30006,Subaru,6995,152154
30006,Mercedes-Benz,19999,66811
30006,BMW,18999,106395
30006,BMW,19599,114316
30006,Nissan,26900,93218
30006,BMW,13799,101749
30006,BMW,16497,67381
30006,BMW,12999,82779
30006,Nissan,6995,158225
30006,Mercedes-Benz,17999,55463
30006,Mercedes-Benz,11999,88466
30006,BMW,14999,76672
30006,BMW,8997,136272
30006,BMW,11997,116409
30006,BMW,17318,77061
30006,Mercedes-Benz,15997,97601
30006,Cadillac,15999,61287
30006,Cadillac,11500,182531
30006,Jeep,15899,137661
30006,Cadillac,11997,89031
30006,Cadillac,15497,52353
30006,Volkswagen,6995,121175
30006,Mitsubishi,15500,70475
30006,Audi,11900,98921
30006,Toyota,37500,46125
30006,Cadillac,15599,107978
30006,Lincoln,18900,65606
30006,Mercedes-Benz,14900,89980
30006,Jeep,14497,130981
30006,Lincoln,14999,73904
30006,Hyundai,6995,117025
30006,Cadillac,18999,108071
30006,Mercedes-Benz,12900,74725
30006,Buick,15500,107633
30006,BMW,14900,142350
30006,BMW,18999,94002
30006,Kia,18500,93428
30006,BMW,23497,23481
30006,Jeep,20500,110749
30006,Toyota,9500,57435
30006,Toyota,11900,138906
30006,Volkswagen,10999,87529
30006,BMW,14950,114936
30006,Nissan,6995,147683
30006,Dodge,15497,73143
30006,Ford,10900,84977
30006,Ford,13997,112429
30006,Ford,15995,103726
30006,Toyota,14900,97307
30006,Toyota,14485,160326
30006,Toyota,13900,85597
30006,Honda,9995,175875
30006,Lexus,15999,134263
30006,Kia,9995,108689
30006,Toyota,13999,114933
30006,Lexus,18500,85051
30006,Dodge,15997,79335
30006,Chevrolet,6995,130025
30006,Hyundai,12992,30523
30006,Hyundai,12997,30717
30006,Hyundai,14999,68059
30006,Ford,24999,91515
30006,Nissan,10500,146900
30006,Honda,18997,93284
30006,Jeep,26999,99945
30006,Jeep,18999,124037
30006,Chevrolet,25513,79131
30006,Chevrolet,17997,17746
30006,Honda,14997,84853
30006,Mazda,14999,72085
30006,Dodge,16900,19808
30006,Honda,15497,56815
30006,Ford,9995,167165
30006,Chevrolet,7995,101450
30006,Hyundai,5495,148645
30006,Honda,16997,116883
30006,Honda,16499,88356
30006,BMW,18997,86761
30006,Toyota,14900,45823
30006,Toyota,15500,83882
30006,Toyota,7995,196650
30006,Hyundai,8995,132562
30006,Ford,22997,113805
30006,Mercedes-Benz,14999,84750
30006,Ford,8999,70786
30006,Jeep,6995,157195
30006,Honda,14900,101652
30006,Subaru,7995,166189
30006,Volkswagen,13997,94726
30006,Jeep,21900,133759
30006,Ford,7995,196745
30006,Jeep,24997,104964
30006,Ford,6995,95840
30006,Jeep,23497,104882
30006,Hyundai,19497,39887
30006,Toyota,14900,134022
30006,Hyundai,9500,79004
30006,Chevrolet,13599,133089
30006,Volkswagen,10997,106546
30006,Kia,15999,93217
30006,Chevrolet,13999,106480
30006,Chevrolet,9995,139425
30006,Kia,6995,169780
30006,Chevrolet,8995,122850
30006,Lexus,6495,193205
30006,Mercedes-Benz,12000,79589
30006,Audi,16500,102030
30006,Audi,12900,81626
30006,Chevrolet,14497,106088
30006,Ford,7995,75010
30006,Jeep,7495,154595
30006,Mazda,5995,181850
30006,Ford,5995,208780
30007,Chevrolet,165999,480
30007,Mercedes-Benz,99999,51214
30007,Mercedes-Benz,47999,11107
30007,Mercedes-Benz,109999,16938
30007,Audi,79999,37865
30007,BMW,59999,30894
30007,Porsche,89999,35313
30007,Audi,56999,46994
30007,Lexus,70999,26354
30007,Lexus,59999,54968
30007,BMW,59999,45281
30007,Porsche,56999,51691
30007,BMW,53999,54651
30007,Ford,46999,11964
30007,Mercedes-Benz,91999,4344
30007,BMW,66999,25328
30007,Lexus,47999,27845
30007,Jaguar,33999,49603
30007,Audi,27999,54516
30007,Jaguar,34999,39437
30007,BMW,54999,34337
30007,Mercedes-Benz,54999,47464
30007,Mercedes-Benz,12999,138825
30007,Audi,41999,48126
30007,Chevrolet,94999,2121
30007,Cadillac,85999,27341
30007,Porsche,64999,37341
30007,BMW,54999,21077
30007,Mercedes-Benz,37999,22882
30007,BMW,82999,32033
30007,Mercedes-Benz,86999,2204
30007,Porsche,50999,81857
30007,Cadillac,34999,88875
30007,Mercedes-Benz,46999,60389
30007,BMW,87999,1111
30007,Porsche,83999,22242
30007,BMW,56999,21925
30007,Mercedes-Benz,62999,62429
30007,BMW,51999,54922
30007,Lamborghini,269999,6371
30007,Mercedes-Benz,76999,32022
30007,Chrysler,10499,127738
30007,Mercedes-Benz,63999,55248
30007,Chevrolet,84999,128
30007,Mercedes-Benz,81999,12106
30007,Audi,169999,4791
30007,Mercedes-Benz,399999,150
30007,BMW,72999,2218
30007,Volvo,37999,50098
30007,Mercedes-Benz,41999,59022
30007,Mercedes-Benz,42999,61699
30007,Lamborghini,199999,33128
30007,Lamborghini,209999,37403
30007,Lincoln,44999,82931
30007,Jeep,49999,13943
30007,Cadillac,103999,16500
30007,Porsche,77999,74748
30007,Lexus,32999,45058
30007,Mercedes-Benz,60999,3248
30007,Mercedes-Benz,81999,47574
30007,Mercedes-Benz,135000,9209
30007,Toyota,41500,501
30007,Mercedes-Benz,108000,12392
30007,Porsche,148000,38534
30007,Toyota,32500,59472
30007,Porsche,37500,51559
30007,Honda,38000,10586
30007,Mercedes-Benz,40000,22651
30007,Nissan,54500,10105
30007,Lamborghini,229000,39007
30007,Audi,34999,32710
30007,Ferrari,289999,2330
30007,Audi,47999,55677
30007,Toyota,24999,57143
30007,Mercedes-Benz,28999,51906
30007,Mercedes-Benz,54999,29057
30007,Mercedes-Benz,27999,63991
30007,Mercedes-Benz,35999,34997
30007,Mercedes-Benz,45999,43538
30007,Mercedes-Benz,13999,120004
30007,Mercedes-Benz,49999,16120
30007,Jeep,50999,16057
30007,BMW,26999,68467
30007,Chevrolet,64999,36063
30007,Porsche,70999,58520
30007,Chevrolet,85999,13999
30007,Buick,21999,68341
30007,Ford,34999,5150
30007,Kia,30999,45845
30007,Toyota,15999,103133
30007,Kia,37999,66326
30007,Mercedes-Benz,41999,16217
30007,Mercedes-Benz,45999,47241
30007,Mercedes-Benz,43999,28879
30007,Chevrolet,86999,5774
30007,Mercedes-Benz,29999,46710
30007,Mercedes-Benz,92999,15480
30007,Mercedes-Benz,82999,23784
30007,Jeep,96999,30425
30007,Dodge,37999,22462
30007,Dodge,139999,5155
30007,Mercedes-Benz,31999,62606
30007,Toyota,34999,26126
30007,Mercedes-Benz,50999,30404
30007,Chevrolet,209999,871
30007,Chevrolet,36999,36425
30007,Mercedes-Benz,45999,46254
30007,Ford,33999,107124
30007,Dodge,49999,28184
30007,BMW,84999,21011
30007,Toyota,30999,59312
30007,Porsche,145999,15240
30007,Jeep,44999,9091
30007,Hyundai,26999,44992
30007,Mercedes-Benz,79999,42317
30007,BMW,93999,3040
30007,Jeep,169999,3642
30007,Mercedes-Benz,42999,12034
30007,Toyota,29999,66396
30007,Toyota,24999,65342
30007,Mercedes-Benz,94999,4776
30007,Jeep,28999,86111
30007,Dodge,49999,22480
30007,Chevrolet,95999,4141
30007,Mercedes-Benz,102999,235
30007,Mercedes-Benz,47999,44266
30007,Mercedes-Benz,52999,3166
30007,BMW,56999,18473
30007,BMW,19999,35651
30007,Audi,51999,59897
30007,Chevrolet,96999,5523
30007,Porsche,69999,47849
30007,Mercedes-Benz,96995,25036
30007,Dodge,35999,55973
30007,Mercedes-Benz,189999,9673
30007,Nissan,58999,96
30007,Lamborghini,269999,39
30007,Mercedes-Benz,36999,93825
30007,Ford,269999,1786
30007,Mercedes-Benz,179999,27833
30007,Nissan,10599,123000
30007,Mercedes-Benz,134995,79933
30007,BMW,67995,17659
30007,Mercedes-Benz,126995,6923
30007,Mercedes-Benz,53999,42596
30007,Nissan,40750,35611
30007,BMW,28000,57810
30007,Audi,46000,48381
30007,Lexus,41500,43014
30007,Ford,52000,3319
30007,Kia,35000,15656
30007,Cadillac,184995,2264
30007,Mercedes-Benz,17999,95596
30007,Audi,14999,137000
30007,Mercedes-Benz,60999,39484
30007,Mercedes-Benz,152999,50320
30007,Dodge,17999,165656
30007,Mercedes-Benz,149999,25484
30007,Mercedes-Benz,43999,16362
30007,Porsche,59999,25000
30007,Cadillac,82999,40947
30007,Mercedes-Benz,107999,9489
30007,Porsche,33999,78204
30007,Mercedes-Benz,139999,23036
30007,Ford,108999,85
30007,Porsche,45000,38687
30007,Mercedes-Benz,44000,40703
30007,Mercedes-Benz,110000,4718
30007,Mercedes-Benz,50000,40819
30007,Porsche,109000,7525
30007,Mercedes-Benz,84000,2694
30007,Porsche,125000,7448
30007,BMW,52000,20503
30007,Mercedes-Benz,49000,22855
30007,Lexus,37500,87048
30007,Porsche,71000,13387
30007,Mercedes-Benz,128000,8676
30007,Mercedes-Benz,87500,37193
30007,Toyota,66000,6931
30007,Mercedes-Benz,40000,39452
30007,Porsche,137000,4641
30007,Mercedes-Benz,49500,40692
30007,Porsche,110000,29156
30007,Porsche,113000,6262
30007,Mercedes-Benz,84000,12443
30007,Mercedes-Benz,53000,36217
30007,Mercedes-Benz,93000,26614
30007,Volvo,35000,41868
30007,Porsche,63000,18288
30007,BMW,52000,36561
30007,Porsche,107000,17065
30007,Mercedes-Benz,87000,12552
30007,Mercedes-Benz,95000,20991
30007,Toyota,59000,11156
30007,Toyota,51750,8186
30007,Porsche,100000,14946
30007,Porsche,50000,47004
30007,BMW,47000,24756
30007,Mercedes-Benz,68000,41351
30007,Lexus,39500,33830
30007,Mercedes-Benz,37000,18998
30007,Toyota,57500,31896
30007,Porsche,104000,25997
30007,Porsche,55000,19599
30007,Porsche,61000,26479
30007,Porsche,110000,9505
30007,Toyota,54000,8068
30007,Mercedes-Benz,90000,7348
30007,Volvo,50750,27689
30007,Mercedes-Benz,101000,27049
30007,Porsche,96000,10815
30007,Mercedes-Benz,43000,31349
30007,Lexus,41000,15095
30007,BMW,42500,13346
30007,Toyota,35000,390
30007,Mercedes-Benz,85000,5879
30007,Toyota,35000,10312
30008,Lexus,12000,199100
30009,BMW,80995,6557
30009,BMW,35995,18512
30009,BMW,85995,19433
30009,BMW,30995,5721
30009,Lexus,59895,7685
30009,BMW,41995,19373
30009,Cadillac,33995,85029
30009,BMW,41996,45997
30009,Volvo,63995,2195
30009,BMW,43960,2220
30009,Chevrolet,72495,16226
30009,BMW,37960,39350
30009,BMW,62995,40255
30009,Audi,48995,22851
30009,Nissan,29995,22603
30009,BMW,32995,53917
30009,BMW,51995,16447
30009,Volvo,44995,34799
30009,Audi,57995,32695
30009,GMC,49995,42145
30009,Honda,24995,68818
30009,BMW,49995,30665
30009,GMC,60995,7938
30009,Audi,26995,72919
30009,Nissan,18490,72093
30009,BMW,89995,5535
30009,Mercedes-Benz,20995,120486
30009,Toyota,20995,156895
30009,Mercedes-Benz,19995,53043
30009,BMW,61995,30427
30009,BMW,56995,31183
30009,BMW,51995,45890
30009,Audi,37995,44368
30009,BMW,20995,49985
30009,Porsche,60995,30920
30009,BMW,65960,7323
30009,BMW,78995,8225
30009,BMW,45995,24673
30009,BMW,62995,44014
30009,BMW,35960,31128
30009,BMW,32995,31931
30009,Audi,40995,33109
30009,Toyota,35995,18681
30009,BMW,82995,11412
30009,BMW,51995,28668
30009,Toyota,35990,62652
30009,BMW,41960,28880
30009,BMW,38995,20428
30009,BMW,32995,12443
30009,BMW,21995,68426
30009,Honda,28995,73014
30009,Volvo,48995,5654
30009,BMW,31995,17714
30009,Porsche,31995,68904
30009,BMW,54995,66922
30009,Volkswagen,16490,102996
30009,BMW,35995,22756
30009,Cadillac,84995,36800
30009,BMW,60995,16425
30009,Audi,15995,93665
30009,BMW,80995,31975
30009,BMW,29960,40907
30009,BMW,23990,61745
30009,Kia,15990,113513
30009,BMW,23995,67615
30009,BMW,67995,4871
30009,Volkswagen,18995,41604
30009,Volkswagen,17990,41737
30009,Audi,28995,64829
30009,Ford,49990,41818
30009,BMW,34995,26585
30009,BMW,23995,31770
30009,BMW,34995,21880
30009,BMW,65995,15406
30009,Ford,14990,149280
30009,Hyundai,28995,37114
30009,BMW,92995,3356
30009,BMW,46995,34914
30009,Nissan,19995,40822
30009,BMW,42995,21288
30009,BMW,34996,48187
30009,BMW,47995,19060
30009,BMW,36995,15335
30009,Mercedes-Benz,29995,45429
30009,BMW,39995,31492
30009,BMW,65995,10332
30009,BMW,46995,29194
30009,Audi,56995,32148
30009,Toyota,41995,27601
30009,BMW,38995,80875
30009,Audi,22995,55487
30009,GMC,21995,90189
30009,BMW,62995,4471
30009,BMW,24995,59517
30009,BMW,45995,32365
30009,BMW,57995,4133
30009,BMW,100995,16499
30009,BMW,30995,31930
30009,BMW,33995,32572
30009,BMW,70995,31483
30009,Mercedes-Benz,48995,58838
30009,BMW,22960,67902
30009,BMW,29995,39908
30009,BMW,46995,15098
30009,Lexus,21995,128176
30009,Subaru,18990,86714
30009,Ferrari,488990,112
30009,Mercedes-Benz,219900,27
30010,Mercedes-Benz,9300,122000
30010,Chevrolet,7100,121525
30013,Lexus,22991,92583
30013,Ford,25000,146841
30013,GMC,47737,60765
30013,Dodge,35991,67566
30013,GMC,65486,10259
30013,Ford,22900,67097
30013,BMW,37491,84888
30013,Mercedes-Benz,25491,59761
30013,Mercedes-Benz,19991,115881
30013,Mercedes-Benz,20991,62758
30013,Nissan,21991,52909
30013,Lexus,22491,93866
30013,Nissan,21991,55963
30013,Ford,18900,78704
30013,Honda,24981,75963
30013,Chevrolet,13925,123956
30013,Ford,23991,132344
30013,Subaru,25900,9861
30013,Dodge,31991,96866
30013,Subaru,33572,16001
30013,Honda,23991,50554
30013,Nissan,24991,65511
30013,Dodge,41991,47883
30013,Ford,24991,64495
30013,Toyota,39491,86376
30013,BMW,51991,20240
30013,Mercedes-Benz,33791,31253
30013,BMW,41991,65263
30013,BMW,22491,65851
30013,Dodge,26991,39812
30013,Audi,24491,70052
30013,Ford,44900,75644
30013,Ford,65000,90168
30013,Honda,27953,27289
30013,Ford,10900,124746
30013,Chevrolet,50321,29330
30014,Ford,17999,97865
30017,Audi,20500,87990
30019,Porsche,104850,41387
30019,Chevrolet,5850,76179
30019,Nissan,25999,46500
30019,Ford,45000,68500
30019,BMW,16000,82000
30022,Kia,48000,31000
30022,Audi,20945,69643
30022,Cadillac,19500,76000
30022,Toyota,8500,152000
30022,Honda,6200,277242
30022,Honda,6200,224122
30022,Volvo,7000,153303
30022,Toyota,28999,119929
30022,Hyundai,9888,193000
30024,Mercedes-Benz,116889,18214
30024,Audi,69950,19000
30024,Audi,20500,103443
30024,Toyota,11950,138600
30024,Audi,14885,108184
30024,Mercedes-Benz,14900,56000
30024,Ford,14777,205000
30026,Audi,60490,9936
30026,BMW,34460,47183
30026,Lexus,40990,40127
30026,Lexus,47970,53075
30026,Chevrolet,82425,29328
30026,Chevrolet,33997,135307
30026,Mercedes-Benz,56990,57595
30026,Lexus,48990,39581
30026,BMW,50990,60235
30026,Lexus,37490,41293
30026,Lexus,46499,54091
30026,Subaru,32977,58412
30026,Lexus,36490,45571
30026,BMW,40490,39886
30026,Nissan,25997,22127
30026,Jeep,47990,9666
30026,Ford,36987,40856
30026,Toyota,26990,59693
30026,BMW,28977,47678
30026,GMC,61998,22010
30026,Ford,56990,22932
30026,GMC,58990,29768
30026,BMW,68990,52308
30026,GMC,109394,1429
30026,Mercedes-Benz,55990,40145
30026,Chevrolet,71997,33587
30026,Mercedes-Benz,48490,32493
30026,Chevrolet,61977,32973
30026,Honda,29588,48621
30026,Mazda,22789,81806
30026,Lincoln,30997,54693
30026,GMC,71998,10450
30026,Audi,27490,49938
30026,Volkswagen,19588,44414
30026,Volkswagen,34997,28825
30026,Dodge,67997,2833
30026,Dodge,62997,4366
30026,Ford,49470,22022
30026,Ford,55970,9501
30026,Ford,50970,10063
30026,Chevrolet,59480,8383
30026,Audi,30288,25498
30026,Dodge,29997,60780
30026,Jeep,44990,3891
30026,Mercedes-Benz,48990,4454
30026,Jeep,47470,8615
30026,Jeep,40970,12150
30026,Chevrolet,46470,24393
30026,Mercedes-Benz,28977,39348
30026,Kia,20677,64229
30026,BMW,46990,47524
30026,Dodge,33997,44381
30026,Mercedes-Benz,28977,41423
30026,Mercedes-Benz,35990,21690
30026,Toyota,42997,38102
30026,Ford,36997,83266
30026,Jeep,49997,58336
30026,Ford,38470,65693
30026,Toyota,32987,35343
30026,Ford,47470,68146
30026,Ford,59997,11849
30026,Dodge,109999,8195
30026,Ford,43970,6342
30026,Chevrolet,36990,21447
30026,Subaru,32990,309
30026,Jeep,49997,41784
30026,Mercedes-Benz,31990,30373
30026,Mercedes-Benz,31977,41085
30026,Chevrolet,38999,61360
30026,Chevrolet,75997,16122
30026,Ford,40490,61430
30026,Chevrolet,73997,37537
30026,Lexus,32590,54452
30026,Ford,34470,64475
30026,Mazda,26988,35677
30026,Lexus,47990,4865
30026,BMW,49500,48426
30026,Audi,54977,41945
30026,Jeep,26990,80812
30026,Toyota,47470,7747
30026,Toyota,39977,42712
30026,Mercedes-Benz,53990,71488
30026,Mazda,27788,21622
30026,Chrysler,31997,41900
30026,Mazda,29588,42745
30026,Ford,15999,115596
30026,Toyota,42980,41876
30026,Ford,46400,177986
30026,Volkswagen,38997,4303
30026,Jeep,94822,850
30026,Mazda,25588,20078
